Concesionario;Departamento;Localidad;Direccion;Latitud;Longitud;Teléfono;Gasoil 50-S;Super 30-S;Premium 30-S;Gasoil 10-S
JOSE PEREIRA RUNCO;FLORIDA;SARANDÍ GRANDE;Ruta 5 Km. 139.500;-33.7235516670093;-56.3181870316843;43549143;SI;SI;SI;SI
PEREZUTTI ALFREDO E HIJO;PAYSANDU;GUICHON;Dr. Penza 269 y Avda. Gral. J. G. artigas;-32.3591710881948;-57.2030517639886;47422009;SI;SI;NO;NO
BASTIAN LDTA.;PAYSANDU;CONSTANCIA;Ruta 3 Km. 384;-32.2064457231336;-58.0018172330083;47202102;SI;SI;SI;NO
CARABAJAL GOMEZ;LAVALLEJA;MARISCALA;Ruta 8 Km. 182;-34.0465944528605;-54.7821173489527;44492401;SI;SI;SI;NO
BONILLA S.R.L.;LAVALLEJA;SOLIS DE MATAOJO;Ruta 8 Km. 81, Avda. Fabini S/N;-34.5911179393786;-55.4646434626033;44474081;SI;SI;SI;NO
RADIAL MERCEDES LTDA.;SORIANO;MERCEDES;Rodó 730;-33.2503213017548;-58.0300446350379;45322980;SI;SI;NO;SI
SUC. ROCCA LUIS A.;ROCHA;CASTILLOS;19 de Abril S/N y Treinta y Tres;-34.1982748799346;-53.8572147038145;4475-905;SI;SI;SI;NO
MAR Y SIERRA S.A.;MALDONADO;PAN DE AZÙCAR;Avda. José atlle y Ordóñez 595 y Washington Quintela ;-34.7772810221735;-55.2276146932484;44349077;SI;SI;SI;NO
G. Y F. LTDA. (VERGARA);TREINTA Y TRES;VERGARA;Joaquín Suárez S/N y Fortunato Jara;-32.9396899265181;-53.9371023458949;44582012;SI;SI;NO;NO
BUENA UNION SRL.;RIVERA;TRANQUERAS;Ruta 5 Km. 458;-31.2516076277866;-55.6639586916367;46506219;SI;SI;SI;SI
GALAXOR S.A.;SAN JOSE;LIBERTAD;Ruta 1 Km. 53.300;-34.62905576577;-56.6341532230667;43455309;SI;SI;SI;SI
ROCCA Y CIA S.A. (CENTRO) ;ROCHA;ROCHA;18 de Julio S/N y Orosmán de los Santos ;-34.4824810267569;-54.3321128851043;44722425;SI;SI;SI;SI
MARBI LTDA.;CANELONES;LOS CERRILLOS;Ruta 46 Km. 40, Máximo Tajes S/N;-34.6073777777778;-56.3572555555556;43362049;SI;SI;NO;NO
FERALVA LTDA.;MONTEVIDEO;PUNTA RIELES;Camino Maldonado Km. 13;-34.824018429174;-56.1011001515577;25145728;SI;SI;SI;SI
OTTONELLO;MONTEVIDEO;TOLEDO CHICO;Avda. de las Instrucciones 5555;-34.7527369066496;-56.1084118124496;22222041;SI;SI;NO;NO
PETROSUR LTDA.;MONTEVIDEO;RINCON DEL CERRO;Ruta 1 Km. 17.500 (Accesos);-34.81830298598196;-56.3443058633666;23121066;SI;SI;NO;NO
LA ESKINA 8;MONTEVIDEO;BLANQUEADA;8 de Octubre 3181;-34.8814464813851;-56.151958247215;24860955;SI;SI;SI;NO
DAFINET S.A;CANELONES;CANELONES;Ruta 8 Km. 42;-34.6939943164773;-55.8568967745701;22956476;SI;SI;SI;NO
AROCENA;MONTEVIDEO;CARRASCO;Avda. Arocena 1604 ;-34.8872049152998;-56.0577311585623;26001922;SI;SI;SI;SI
ALQUIMIA 4;MONTEVIDEO;VILLA GARCÍA;Ruta 8 Km. 19;-34.7925311075222;-56.0678359463779;22278359;SI;SI;NO;NO
RAGGIOTTO;MALDONADO;AIGUÁ;Gral. De la Llana S/N entre Margarita Muniz y 18 de julio;-34.2018740824614;-54.7663482559881;44462120;SI;SI;NO;NO
DROVANDI;SORIANO;JOSÉ E. RODÓ;Ruta 2 Km. 208.500;-33.7007410538822;-57.5263463054294;45382135;SI;SI;SI;SI
PETROCAMPO;SORIANO;JOSÉ E. RODÓ;Ruta 2 Km. 217;-33.6268892632613;-57.5728162317727;45308072;SI;SI;NO;NO
CATALINA I;TACUAREMBO;PASO DE LOS TOROS;Ruta 5 Km. 251;-32.7933601764952;-56.5203690958288;46642117;SI;SI;SI;NO
PRESENTI S.A;COLONIA;CONCHILLAS;Ruta 5 Y Camino de la Palmera;-34.16265482292692;-58.01208962566072;45707340;SI;SI;SI;SI
RADIAL MERCEDES RUTA;SORIANO;MERCEDES;Ruta 2 Km. 277.800;-33.2616505600024;-58.0179138954944;45322981;SI;SI;SI;SI
FORTEX SRL;CANELONES;PANDO;Ruta 8 Km. 30.500;-34.7257579663551;-55.9634300199222;22922277;SI;SI;SI;NO
JILFER SA.;SAN JOSE;SAN JOSE DE MAYO;Ruta 1 Km. 66;-34.458341145228495;-56.90480754431383;43462019;SI;SI;SI;NO
PARQUE DEL PLATA;CANELONES;PARQUE DEL PLATA;Ruta Interbalnearia Km. 51;-34.7499792667787;-55.7087870135513;43755179;SI;SI;SI;SI
NICRE LTDA.;MONTEVIDEO;AGUADA;Fernandez Crespo 2197;-34.8936001821087;-56.184655381152;29242625;SI;SI;SI;NO
MILEBAN S.A;MONTEVIDEO;TRES CRUCES;Democracia 1740;-34.8966931939277;-56.1757632316237;24004446;SI;SI;SI;NO
J.S LTDA.;MONTEVIDEO;MENDOZA;Camino Mendoza 6044;-34.7904524896352;-56.1653674130646;2226524;SI;SI;SI;NO
BETBEDER Y GOLFARINI;MALDONADO;PUNTA BALLENA;Ruta 3 Km. 118;-34.8788175378426;-55.0524875381706;42578251;SI;SI;SI;SI
PREMAZZI;SORIANO;DOLORES;Avda. Grito de Asencio y Avda. Agraciada;-33.5329353823951;-58.2154578518864;45342326;SI;SI;SI;NO
